date, T9_D_100, T12_E_50, T4_E_50, T7_E_100, T15_E_100, T14_D_100, T5_D_50, T2_D_50
07/03/2024,15,16,32,5,144,73,54,166
08/03/2024,12,16,25,5,144,73,46,166
25/03/2024,13.125,16,35.875,5,144,73,46.5,166
26/03/2024,14.25,16,46.75,5,144,73,47,166
27/03/2024,15.375,16,57.625,5,144,73,47.5,166
28/03/2024,16.5,16,68.5,5,144,89,48,166
29/03/2024,17.625,16,79.375,5,144,89,48.5,166
30/03/2024,18.75,16,90.25,5,144,104,49,166
31/03/2024,19.875,16,101.125,5,144,146,49.5,166
01/04/2024,21,16,112,5,144,188,50,166
02/04/2024,18,15,72,6,98,96,9,163
03/04/2024,14,15,31,10,118,71,10,161
21/04/2024,15,121,46,9.8125,133,60.5,9,90
22/04/2024,16,227,61,9.625,148,50,8,19
23/04/2024,29,115,34,9.4375,74,26,10,39
24/04/2024,24,89,36,9.25,67,40,12,55
25/04/2024,25,62,34,9.0625,59,30,12,76
26/04/2024,16,74,38,8.875,57,40,14,46
27/04/2024,20,53,39,8.6875,57,26,10,29
28/04/2024,21,38,36,8.5,50,16,20,22
29/04/2024,16,37,38,8.3125,44,27,20,21
30/04/2024,12,58,46,8.125,47,31,21,31
01/05/2024,19,51,38,7.9375,35,30,21,36
02/05/2024,20,67,44,7.75,62,57,22,41
03/05/2024,23,90,66,7.5625,89,85,34,80
04/05/2024,20,66,52,7.375,49,69,14,49
05/05/2024,17,53,58,7.1875,54,71,72.5,72
06/05/2024,17,51,55,7,55,61,131,62
07/05/2024,22,54,46,8,56,54,128,33
08/05/2024,22,64,36,4,60,47,150,44
09/05/2024,24,53,14,2,43,40,118,38
10/05/2024,25,68,31,9,45,57,164,47
11/05/2024,16,67,39,4,44,45,138,65
12/05/2024,18,66,47,4.5,65,64,112,58
13/05/2024,14,58,44,5,61,57,113,57
14/05/2024,19,64,45,13,58,59,98,53
15/05/2024,20,68,57,8,66,60,106,71
16/05/2024,23,60,38,3,45,55,93,24
17/05/2024,18,72,53,0,51,61,125,42
18/05/2024,19,66,40,2,36,50,110,47
19/05/2024,18,62,50,35.5,46,52,127,67
20/05/2024,22,84,67,69,48,54,165,91
21/05/2024,14,71,45,114,41,60,142,82
22/05/2024,22,64,48,172,42,48,123,63
23/05/2024,16,78,52,175,53,57,150,80
24/05/2024,13,93,73,124,81,84,159,105
25/05/2024,19,74,58,69,59,63,127,63
26/05/2024,16,81,40,73,68,71,109,52
27/05/2024,18,90,60,68,83,82,116,87
28/05/2024,15,65,31,52,42,49,89,29
29/05/2024,23,64,42,47,60,51,81,54
30/05/2024,16,78,52,59,58,68,111,64
31/05/2024,14,67,43,50,42,58,90,45
01/06/2024,21,71,43,62,51,57,115,57
02/06/2024,21.25,73,52,49,51,51,110,53
03/06/2024,21.5,75,54,35,50,49,108,75
04/06/2024,21.75,77,54,49,55,53,123,67
05/06/2024,22,79,59,52,63,67,157,88
06/06/2024,22.25,81,41,40,54,41,119,53
07/06/2024,22.5,83,51,39,46,52,115,67
08/06/2024,22.75,85,52,41,50,54,136,70
09/06/2024,23,87,74,52,65,73,141,94
10/06/2024,23.25,89,76,48,76,75,124,81
11/06/2024,23.5,91,60,35,51,53,103,68
12/06/2024,23.75,93,50,34,53,52,104,65
13/06/2024,24,95,59,38,61,68,117,62
14/06/2024,24.25,97,63,38,54,65,138,75
