date, T15_E_100, T9_D_100, T4_E_50, T12_E_50
30/09/2024,4.936857143,4.4320625,7.155625,8.7662
01/10/2024,7.232142857,8.1123125,5.060933333,
02/10/2024,1.428928571,7.72025,3.8355625,
03/10/2024,3.140642857,0.9789375,2.683133333,5.4058
04/10/2024,4.674214286,4.9719375,0.335714286,
05/10/2024,4.859714286,2.8545625,0.825,
07/10/2024,3.489857143,4.264666667,3.6551875,
08/10/2024,2.361428571,4.434933333,3.208625,
09/10/2024,6.723214286,2.969875,2.189933333,
10/10/2024,4.187071429,5.2951875,1.815857143,
11/10/2024,2.866428571,4.321666667,6.4136875,
12/10/2024,2.055285714,6.6030625,6.083214286,
13/10/2024,0.794857143,4.9970625,2.775357143,
14/10/2024,2.356071429,5.8796,4.386133333,
15/10/2024,1.341928571,3.875933333,4.117533333,
16/10/2024,3.795571429,3.8588125,4.103333333,
17/10/2024,2.993857143,3.8275625,8.132333333,
18/10/2024,0.287133333,6.5311875,7.533933333,
