date, T2_D_50, T5_D_50, T9_D_100, T14_D_100, T4_E_50, T7_E_100, T12_E_50, T15_E_100
01/03/2024,4.187666667,3.321,3.953333333,5.057333333,2.0685,2.703166667,2.769666667,3.846833333
02/03/2024,4.041333333,3.3655,3.7995,5.057166667,2.1215,2.784,3.269666667,4.0665
03/03/2024,3.985,3.361,3.8095,4.995,2.1325,2.768666667,3.185666667,3.9125
04/03/2024,4.113666667,3.420333333,3.984,5.103666667,2.1255,2.668166667,2.880166667,3.907333333
05/03/2024,4.0055,3.427833333,3.915166667,5.0465,2.14,2.7275,3.3885,4.052833333
06/03/2024,4.018,3.4525,4.116666667,5.068166667,2.1515,2.662166667,3.135833333,3.661333333
07/03/2024,3.9645,3.441833333,3.878833333,5.095833333,2.177833333,2.736,3.343333333,3.983333333
08/03/2024,3.945166667,3.4795,4.020833333,5.0865,2.192833333,2.677666667,3.277166667,3.366
09/03/2024,3.929333333,3.522166667,3.9995,5.108333333,2.157166667,2.741833333,2.955833333,3.830833333
10/03/2024,3.8935,3.531333333,4.090166667,5.1245,2.167666667,2.588333333,3.289833333,3.168
11/03/2024,3.9414,3.5254,4.0128,5.1054,2.1936,2.579,3.0294,3.4192
12/03/2024,3.85825,3.557,4.14575,5.092,2.20225,2.65025,3.28025,3.997
13/03/2024,3.863333333,3.557166667,3.939833333,5.0415,2.218333333,2.574,3.217333333,3.677666667
14/03/2024,3.846833333,3.5525,4.1735,5.084333333,2.239833333,2.649666667,3.416333333,3.961333333
15/03/2024,3.8195,3.5725,3.986,5.063333333,2.223833333,2.643666667,3.410166667,3.7165
16/03/2024,3.823833333,3.631666667,4.209,5.091333333,2.249,2.686833333,3.5065,4.0535
17/03/2024,3.7675,3.637333333,4.059166667,5.084,2.269,2.652666667,3.502833333,3.816166667
18/03/2024,3.761833333,3.602,4.273166667,5.086333333,2.2795,2.694,3.595166667,4.071666667
19/03/2024,3.7095,3.602,3.9945,5.077,2.281833333,2.6535,3.477333333,3.798333333
20/03/2024,3.684166667,3.6075,4.152166667,5.0515,2.277833333,2.6765,3.413166667,3.998833333
21/03/2024,3.607166667,3.6625,4.003666667,5.0235,2.289666667,2.662166667,3.450166667,3.852
